# tsmap test definitions — RRAM-LOT-06
# Readable names for the sweep tests, then derived tests: rows with an
# expression are computed per die from the tests they read (t[n] = value,
# testPass[n] = recorded verdict, 3126..3130 = every test in that range).
# 900003 and 900004 read other derived tests. Numbers 900001+ are unused
# by the tester, as a derived test must not reuse a measured number.
num,name,loLimit,hiLimit,units,testType,expression
3000,Reset I @ -1.5 V,50.0,,uA,P,
3001,Reset I @ -1.4 V,,,uA,P,
3002,Reset I @ -1.3 V,,,uA,P,
3003,Reset I @ -1.2 V,,,uA,P,
3004,Reset I @ -1.1 V,,,uA,P,
3005,Reset I @ -1.0 V,,,uA,P,
3006,Reset I @ -0.9 V,,,uA,P,
3007,Reset I @ -0.8 V,,,uA,P,
3008,Reset I @ -0.7 V,,,uA,P,
3009,Reset I @ -0.6 V,,,uA,P,
3010,Reset I @ -0.5 V,,,uA,P,
3011,Reset I @ -0.4 V,,,uA,P,
3012,Reset I @ -0.3 V,,,uA,P,
3013,Reset I @ -0.2 V,,,uA,P,
3014,Reset I @ -0.1 V,,,uA,P,
3015,Reset I @ +0.0 V,,,uA,P,
3016,Reset I @ +0.1 V,,,uA,P,
3017,Reset I @ +0.2 V,,,uA,P,
3018,Reset I @ +0.3 V,,,uA,P,
3019,Reset I @ +0.4 V,,,uA,P,
3020,Reset I @ +0.5 V,,,uA,P,
3021,Reset I @ +0.6 V,,,uA,P,
3022,Reset I @ +0.7 V,,,uA,P,
3023,Reset I @ +0.8 V,,,uA,P,
3024,Reset I @ +0.9 V,,,uA,P,
3025,Reset I @ +1.0 V,,,uA,P,
3026,Reset I @ +1.1 V,,,uA,P,
3027,Reset I @ +1.2 V,,,uA,P,
3028,Reset I @ +1.3 V,,,uA,P,
3029,Reset I @ +1.4 V,,,uA,P,
3030,Reset I @ +1.5 V,,20.0,uA,P,
3100,Set I @ -1.5 V,,,uA,P,
3101,Set I @ -1.4 V,,,uA,P,
3102,Set I @ -1.3 V,,,uA,P,
3103,Set I @ -1.2 V,,,uA,P,
3104,Set I @ -1.1 V,,,uA,P,
3105,Set I @ -1.0 V,,,uA,P,
3106,Set I @ -0.9 V,,,uA,P,
3107,Set I @ -0.8 V,,,uA,P,
3108,Set I @ -0.7 V,,,uA,P,
3109,Set I @ -0.6 V,,,uA,P,
3110,Set I @ -0.5 V,,,uA,P,
3111,Set I @ -0.4 V,,,uA,P,
3112,Set I @ -0.3 V,,,uA,P,
3113,Set I @ -0.2 V,,,uA,P,
3114,Set I @ -0.1 V,,,uA,P,
3115,Set I @ +0.0 V,,,uA,P,
3116,Set I @ +0.1 V,,,uA,P,
3117,Set I @ +0.2 V,,,uA,P,
3118,Set I @ +0.3 V,,,uA,P,
3119,Set I @ +0.4 V,,,uA,P,
3120,Set I @ +0.5 V,,,uA,P,
3121,Set I @ +0.6 V,,,uA,P,
3122,Set I @ +0.7 V,,,uA,P,
3123,Set I @ +0.8 V,,,uA,P,
3124,Set I @ +0.9 V,,,uA,P,
3125,Set I @ +1.0 V,,,uA,P,
3126,Set I @ +1.1 V,,,uA,P,
3127,Set I @ +1.2 V,,,uA,P,
3128,Set I @ +1.3 V,,,uA,P,
3129,Set I @ +1.4 V,,,uA,P,
3130,Set I @ +1.5 V,50.0,,uA,P,
3200,LRS read I @ 1e0 cycles,,,uA,P,
3201,LRS read I @ 1e1 cycles,,,uA,P,
3202,LRS read I @ 1e2 cycles,,,uA,P,
3203,LRS read I @ 1e3 cycles,,,uA,P,
3204,LRS read I @ 1e4 cycles,,,uA,P,
3205,LRS read I @ 1e5 cycles,,,uA,P,
3206,LRS read I @ 1e6 cycles,,,uA,P,
3300,HRS read I @ 1e0 cycles,,,uA,P,
3301,HRS read I @ 1e1 cycles,,,uA,P,
3302,HRS read I @ 1e2 cycles,,,uA,P,
3303,HRS read I @ 1e3 cycles,,,uA,P,
3304,HRS read I @ 1e4 cycles,,,uA,P,
3305,HRS read I @ 1e5 cycles,,,uA,P,
3306,HRS read I @ 1e6 cycles,,,uA,P,
2001,Forming check,,,,F,
900001,Set plateau,60,,uA,P,mean(t[3126..3130])
900002,Reset plateau,60,,uA,P,mean(t[3000..3004])
900003,Plateau mismatch,,15,uA,P,abs(t[900001] - t[900002])
900004,Memory window,1.5,,dec,P,"log10(t[900001] / max(t[3115], 0.01))"
900005,Endurance LRS loss,,65,%,P,100 * (1 - t[3206] / t[3200])
900006,Window at 1e5 cycles,5,,uA,P,t[3205] - t[3305]
900007,Switching OK,,,,F,testPass[2001] and t[900001] > 50 and t[3115] < 5
