wafer,x,y,hbin,sbin,test_num,test_val
W01,0,0,2,2,2001,100.0
W01,0,0,2,2,2002,200.0
W01,0,0,2,2,2003,300.0
W01,1,0,1,1,2001,101.5
W01,1,0,1,1,2002,198.0
W01,1,0,1,1,2003,300.5
W01,0,1,1,1,2001,103.0
W01,0,1,1,1,2002,196.0
W01,0,1,1,1,2003,301.0
W01,1,1,2,2,2001,104.5
W01,1,1,2,2,2002,194.0
W01,1,1,2,2,2003,301.5
W02,0,0,2,2,2001,100.0
W02,0,0,2,2,2002,200.0
W02,0,0,2,2,2003,300.0
W02,1,0,1,1,2001,101.5
W02,1,0,1,1,2002,198.0
W02,1,0,1,1,2003,300.5
W02,0,1,1,1,2001,103.0
W02,0,1,1,1,2002,196.0
W02,0,1,1,1,2003,301.0
W02,1,1,2,2,2001,104.5
W02,1,1,2,2,2002,194.0
W02,1,1,2,2,2003,301.5
